Age,0,1,2,3,4,5
18,0.0002310671048780701,0.0002541738153658771,0.0002795911969024648,0.0003075503165927113,0.0003383053482519825,0.0003721358830771808
19,0.0002353200126583699,0.000258852013924207,0.0002847372153166277,0.0003132109368482905,0.0003445320305331195,0.0003789852335864315
20,0.0002399363756770145,0.0002639300132447159,0.0002903230145691875,0.0003193553160261063,0.000351290847628717,0.0003864199323915887
21,0.000244937423152777,0.0002694311654680547,0.0002963742820148602,0.0003260117102163462,0.0003586128812379809,0.000394474169361779
22,0.0002503462740334557,0.0002753809014368013,0.0003029189915804814,0.0003332108907385296,0.0003665319798123826,0.0004031851777936208
23,0.0002561881183155183,0.0002818069301470701,0.0003099876231617771,0.0003409863854779549,0.0003750850240257504,0.0004125935264283255
24,0.0002624904157144116,0.0002887394572858528,0.0003176134030144381,0.0003493747433158819,0.0003843122176474701,0.0004227434394122172
25,0.0002692831139799757,0.0002962114253779732,0.0003258325679157706,0.0003584158247073477,0.0003942574071780824,0.0004336831478958907
26,0.0002765988893708184,0.0003042587783079002,0.0003346846561386903,0.0003681531217525593,0.0004049684339278153,0.0004454652773205969
27,0.0002844734120632121,0.0003129207532695333,0.0003442128285964867,0.0003786341114561354,0.000416497522601749,0.0004581472748619239
28,0.0002929456395766907,0.0003222402035343598,0.0003544642238877958,0.0003899106462765754,0.000428901710904233,0.0004717918819946564
29,0.0003020581416539583,0.0003322639558193541,0.0003654903514012896,0.0004020393865414186,0.0004422433251955605,0.0004864676577151166
30,0.0003118574604420908,0.0003430432064863,0.00037734752713493,0.000415082279848423,0.0004565905078332653,0.0005022495586165919
31,0.0003223945102916596,0.0003546339613208256,0.0003900973574529082,0.0004291070931981991,0.000472017802518019,0.000519219582769821
32,0.0003337250220279336,0.000367097524230727,0.0004038072766537997,0.0004441880043191797,0.0004886068047510977,0.0005374674852262075
33,0.0003459100371627477,0.0003805010408790224,0.0004185511449669247,0.0004604062594636172,0.000506446885409979,0.0005570915739509769
34,0.0003590164582175236,0.000394918104039276,0.0004344099144432036,0.0004778509058875241,0.0005256359964762765,0.0005781995961239042
35,0.0003731176621295971,0.0004104294283425568,0.0004514723711768126,0.0004966196082944939,0.0005462815691239433,0.0006009097260363377
36,0.0003882941846297993,0.0004271236030927793,0.0004698359634020572,0.000516819559742263,0.0005685015157164894,0.0006253516672881384
37,0.0004046344845257716,0.0004450979329783488,0.0004896077262761837,0.0005385684989038021,0.0005924253487941823,0.0006516678836736005
38,0.0004222357980220614,0.0004644593778242676,0.0005109053156066944,0.0005619958471673638,0.0006181954318841003,0.0006800149750725104
39,0.0004412050945770665,0.0004853256040347732,0.0005338581644382506,0.0005872439808820756,0.0006459683789702832,0.0007105652168673116
40,0.0004616601473642979,0.0005078261621007278,0.0005586087783108006,0.0006144696561418807,0.0006759166217560689,0.0007435082839316758
41,0.0004837307332014202,0.0005321038065215623,0.0005853141871737187,0.0006438456058910905,0.0007082301664801996,0.0007790531831282197
42,0.0005075599788701063,0.0005583159767571169,0.0006141475744328287,0.0006755623318761115,0.0007431185650637228,0.0008174304215700951
